Layer name,In channels,kernel_size,index_channel,input_sparsity,weight_sparsity,Level(128->32) skip counts,Level(128->32) skip rate,Level(32->16) skip counts,Level(32->16) skip rate,Level(16->8) skip counts,Level(16->8) skip rate,Level(8->4) skip counts,Level(8->4) skip rate,Level(4->2) skip counts,Level(4->2) skip rate,Level(2->1) skip counts,Level(2->1) skip rate,compute count,weights_update_time
25/conv2/conv1,256,1,6,0.719921875,0.5390625,4784,0.31145833333333334,2498,0.32526041666666666,585,0.15234375,90,0.046875,22,0.022916666666666665,5,0.010416666666666666,480,2
25/conv2/conv3,256,1,19,0.8018717447916667,0.4375,6503,0.42337239583333336,3488,0.45416666666666666,975,0.25390625,172,0.08958333333333333,32,0.03333333333333333,4,0.008333333333333333,480,2
26/cv2/0/0/conv,128,3,46,0.5908650716145833,0.6006944444444444,314210,0.2841163917824074,173374,0.3135380497685185,38641,0.1397605613425926,7530,0.05447048611111111,2410,0.03486689814814815,915,0.026475694444444444,34560,9
26/cv2/1/0/conv,256,3,29,0.6921061197916667,0.67578125,253490,0.45842375578703703,143820,0.5201822916666666,43896,0.31753472222222223,10666,0.1543113425925926,2757,0.07977430555555555,921,0.05329861111111111,17280,18
26/cv2/2/0/conv,256,3,59,0.59609375,0.5807291666666666,44482,0.32177372685185185,23336,0.33761574074074074,6476,0.18738425925925925,2026,0.11724537037037037,838,0.09699074074074074,392,0.09074074074074075,4320,18
26/cv3/0/0/conv,128,3,64,0.5908650716145833,0.5147569444444444,222610,0.20128942418981483,116278,0.2102828414351852,22371,0.08091362847222222,5075,0.036711516203703706,1782,0.02578125,865,0.025028935185185185,34560,9
26/cv3/0/1/conv,128,3,113,0.8151265462239583,0.4913194444444444,535830,0.4845106336805556,296895,0.5369194878472222,89495,0.32369429976851855,22912,0.16574074074074074,5773,0.08352141203703704,1586,0.045891203703703705,34560,9
26/cv3/0/2/conv,128,1,18,0.4679789225260417,0.3828125,8141,0.06625162760416667,2439,0.039697265625,96,0.003125,2,0.00013020833333333333,0,0.0,0,0.0,3840,1
26/cv3/1/0/conv,256,3,62,0.6921061197916667,0.5768229166666666,206928,0.37421875,112069,0.4053421585648148,29349,0.2123046875,6710,0.0970775462962963,2051,0.05934606481481482,836,0.04837962962962963,17280,18
26/cv3/1/1/conv,128,3,67,0.8287190755208333,0.5746527777777778,156342,0.5654730902777778,80608,0.5831018518518518,26594,0.3847511574074074,7283,0.2107349537037037,1818,0.10520833333333333,556,0.06435185185185185,8640,9
26/cv3/1/2/conv,128,1,76,0.435400390625,0.328125,1222,0.039778645833333334,486,0.031640625,34,0.004427083333333333,15,0.00390625,0,0.0,0,0.0,960,1
26/cv3/2/0/conv,256,3,14,0.59609375,0.4774305555555556,38800,0.2806712962962963,19620,0.2838541666666667,5685,0.1644965277777778,1940,0.11226851851851852,836,0.09675925925925925,390,0.09027777777777778,4320,18
