layer_name,num_parameters,zero_count,one_count,negative_one_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,negative_one_ratio,sparsity
12/Conv/pwconv1,32768,14532,8766,9470,18236,0.4434814453125,0.5565185546875,0.26751708984375,0.28900146484375,0.4434814453125
12/Conv/dwconv4,1152,399,198,555,753,0.3463541666666667,0.6536458333333334,0.171875,0.4817708333333333,0.3463541666666667
12/Conv/dwconv2,12544,5213,3480,3851,7331,0.4155771683673469,0.5844228316326531,0.2774234693877551,0.30699936224489793,0.4155771683673469
12/Conv/pwconv3,32768,14908,8466,9394,17860,0.4549560546875,0.5450439453125,0.25836181640625,0.28668212890625,0.4549560546875
12/conv2/conv1,65536,28653,17507,19376,36883,0.4372100830078125,0.5627899169921875,0.2671356201171875,0.295654296875,0.4372100830078125
12/conv2/conv2,2304,793,621,890,1511,0.3441840277777778,0.6558159722222222,0.26953125,0.3862847222222222,0.3441840277777778
12/conv2/conv3,32768,15478,7922,9368,17290,0.47235107421875,0.52764892578125,0.24176025390625,0.285888671875,0.47235107421875
19/conv1/conv,589824,291869,135935,162020,297955,0.4948408338758681,0.5051591661241319,0.23046705457899305,0.2746921115451389,0.4948408338758681
19/Conv/pwconv1,32768,16138,8702,7928,16630,0.49249267578125,0.50750732421875,0.26556396484375,0.241943359375,0.49249267578125
19/Conv/dwconv4,1152,569,240,343,583,0.4939236111111111,0.5060763888888888,0.20833333333333334,0.2977430555555556,0.4939236111111111
19/Conv/dwconv2,12544,8491,2066,1987,4053,0.6768973214285714,0.32310267857142855,0.1647002551020408,0.15840242346938777,0.6768973214285714
19/Conv/pwconv3,32768,17882,7108,7778,14886,0.54571533203125,0.45428466796875,0.2169189453125,0.23736572265625,0.54571533203125
19/conv2/conv,589824,292434,139707,157683,297390,0.4957987467447917,0.5042012532552084,0.2368621826171875,0.2673390706380208,0.4957987467447917
5/encode_conv,294912,140046,77336,77530,154866,0.4748738606770833,0.5251261393229166,0.2622341579861111,0.2628919813368056,0.4748738606770833
20/conv,147456,77679,34939,34838,69777,0.52679443359375,0.47320556640625,0.2369452582465278,0.2362603081597222,0.52679443359375
25/conv1/conv1,65536,32757,16794,15985,32779,0.4998321533203125,0.5001678466796875,0.256256103515625,0.2439117431640625,0.4998321533203125
25/conv1/conv2,2304,892,689,723,1412,0.3871527777777778,0.6128472222222222,0.2990451388888889,0.3138020833333333,0.3871527777777778
25/conv1/conv3,65536,32302,15585,17649,33234,0.492889404296875,0.507110595703125,0.2378082275390625,0.2693023681640625,0.492889404296875
25/Conv/pwconv1,131072,65170,34912,30990,65902,0.4972076416015625,0.5027923583984375,0.266357421875,0.2364349365234375,0.4972076416015625
25/Conv/dwconv4,2304,1086,667,551,1218,0.4713541666666667,0.5286458333333334,0.2894965277777778,0.23914930555555555,0.4713541666666667
25/Conv/dwconv2,25088,13212,4587,7289,11876,0.5266262755102041,0.4733737244897959,0.18283641581632654,0.2905373086734694,0.5266262755102041
25/Conv/pwconv3,131072,68787,30921,31364,62285,0.5248031616210938,0.47519683837890625,0.23590850830078125,0.239288330078125,0.5248031616210938
25/conv2/conv1,65536,30088,16668,18780,35448,0.4591064453125,0.5408935546875,0.25433349609375,0.28656005859375,0.4591064453125
25/conv2/conv2,2304,972,670,662,1332,0.421875,0.578125,0.2907986111111111,0.2873263888888889,0.421875
25/conv2/conv3,65536,32321,15291,17924,33215,0.4931793212890625,0.5068206787109375,0.2333221435546875,0.27349853515625,0.4931793212890625
