layer_name,num_parameters,zero_count,one_count,two_count,three_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,two_ratio,three_ratio,sparsity
8_SNN-Block-2/step1-8_SepConv/step7_lif4,122880,80221,32148,9326,1185,42659,0.6528401692708333,0.3471598307291667,0.26162109375,0.07589518229166667,0.0096435546875,0.6528401692708333
8_SNN-Block-2/step1-8_SepConv/step1_lif1,122880,103229,16759,2539,353,19651,0.8400797526041667,0.15992024739583333,0.13638509114583333,0.020662434895833335,0.002872721354166667,0.8400797526041667
8_SNN-Block-2/step1-8_SepConv/step5_lif3,245760,188633,43429,9768,3930,57127,0.7675496419270833,0.23245035807291667,0.17671305338541668,0.03974609375,0.0159912109375,0.7675496419270833
26_Detect/cv3/2/2/lif,30720,16859,8244,3635,1982,13861,0.5487955729166667,0.45120442708333336,0.268359375,0.11832682291666667,0.06451822916666666,0.5487955729166667
26_Detect/cv3/2/1/lif,30720,27394,2676,495,155,3326,0.8917317708333333,0.10826822916666666,0.087109375,0.01611328125,0.005045572916666667,0.8917317708333333
26_Detect/cv3/2/0/lif,122880,96918,16476,6479,3007,25962,0.788720703125,0.211279296875,0.13408203125,0.05272623697916667,0.024471028645833334,0.788720703125
26_Detect/cv3/1/2/lif,122880,59506,33800,18284,11290,63374,0.4842610677083333,0.5157389322916667,0.2750651041666667,0.14879557291666667,0.09187825520833333,0.4842610677083333
26_Detect/cv3/1/1/lif,122880,106811,13403,2233,433,16069,0.8692301432291667,0.13076985677083333,0.10907389322916666,0.018172200520833334,0.0035237630208333334,0.8692301432291667
26_Detect/cv3/1/0/lif,245760,175161,42073,19008,9518,70599,0.71273193359375,0.28726806640625,0.17119547526041667,0.07734375,0.03872884114583333,0.71273193359375
26_Detect/cv3/0/2/lif,491520,242452,123200,79935,45933,249068,0.49326985677083335,0.5067301432291667,0.2506510416666667,0.162628173828125,0.093450927734375,0.49326985677083335
26_Detect/cv3/0/1/lif,491520,420896,57809,11293,1522,70624,0.8563151041666667,0.14368489583333333,0.11761271158854167,0.022975667317708334,0.0030965169270833334,0.8563151041666667
26_Detect/cv3/0/0/lif,491520,311689,97805,55173,26853,179831,0.6341328938802083,0.3658671061197917,0.19898478190104166,0.112249755859375,0.054632568359375,0.6341328938802083
26_Detect/cv2/2/2/lif,15360,5320,4744,3432,1864,10040,0.3463541666666667,0.6536458333333334,0.30885416666666665,0.2234375,0.12135416666666667,0.3463541666666667
26_Detect/cv2/2/1/lif,15360,9324,4085,1501,450,6036,0.60703125,0.39296875,0.2659505208333333,0.09772135416666666,0.029296875,0.60703125
26_Detect/cv2/2/0/lif,122880,96918,16476,6479,3007,25962,0.788720703125,0.211279296875,0.13408203125,0.05272623697916667,0.024471028645833334,0.788720703125
26_Detect/cv2/1/2/lif,61440,26741,22304,9818,2577,34699,0.43523763020833334,0.5647623697916667,0.36302083333333335,0.15979817708333333,0.041943359375,0.43523763020833334
26_Detect/cv2/1/1/lif,61440,36611,16725,5986,2118,24829,0.5958821614583333,0.40411783854166666,0.272216796875,0.09742838541666667,0.03447265625,0.5958821614583333
26_Detect/cv2/1/0/lif,245760,175161,42073,19008,9518,70599,0.71273193359375,0.28726806640625,0.17119547526041667,0.07734375,0.03872884114583333,0.71273193359375
26_Detect/cv2/0/2/lif,245760,117614,100001,22908,5237,128146,0.47857259114583334,0.5214274088541667,0.40690511067708335,0.093212890625,0.021309407552083333,0.47857259114583334
26_Detect/cv2/0/1/lif,245760,166851,56250,16643,6016,78909,0.67891845703125,0.32108154296875,0.2288818359375,0.06772054036458333,0.024479166666666666,0.67891845703125
26_Detect/cv2/0/0/lif,491520,311689,97805,55173,26853,179831,0.6341328938802083,0.3658671061197917,0.19898478190104166,0.112249755859375,0.054632568359375,0.6341328938802083
6_SNN-Block2/2/step16-21_conv2/step20_lif3,737280,601054,107664,20800,7762,136226,0.8152316623263889,0.18476833767361112,0.14602864583333333,0.028211805555555556,0.010527886284722222,0.8152316623263889
6_SNN-Block2/2/step16-21_conv2/step18_lif2,737280,534148,156460,39309,7363,203132,0.7244845920138889,0.2755154079861111,0.2122124565972222,0.05331624348958333,0.009986707899305556,0.7244845920138889
6_SNN-Block2/2/step16-21_conv2/step16_lif1,737280,544362,153159,34264,5495,192918,0.7383382161458333,0.26166178385416666,0.20773518880208333,0.046473524305555555,0.007453070746527778,0.7383382161458333
6_SNN-Block2/2/step10-15_conv1/step10_lif1,245760,195995,30697,13012,6056,49765,0.7975056966145834,0.20249430338541666,0.12490641276041667,0.05294596354166667,0.024641927083333334,0.7975056966145834
6_SNN-Block2/2/step10-15_conv1/step14_lif3,245760,180941,44582,12842,7395,64819,0.7362508138020833,0.26374918619791665,0.18140462239583333,0.05225423177083333,0.03009033203125,0.7362508138020833
6_SNN-Block2/2/step10-15_conv1/step12_lif2,245760,172215,54757,15516,3272,73545,0.70074462890625,0.29925537109375,0.22280680338541667,0.063134765625,0.013313802083333333,0.70074462890625
6_SNN-Block2/2/step1-8_SepConv/step3_lif2,491520,394164,78133,16592,2631,97356,0.8019287109375,0.1980712890625,0.15896199544270834,0.03375651041666667,0.005352783203125,0.8019287109375
6_SNN-Block2/2/step1-8_SepConv/step7_lif4,245760,139761,81886,21611,2502,105999,0.56868896484375,0.43131103515625,0.33319498697916666,0.08793538411458333,0.0101806640625,0.56868896484375
6_SNN-Block2/2/step1-8_SepConv/step1_lif1,245760,195745,32880,12549,4586,50015,0.7964884440104166,0.20351155598958334,0.1337890625,0.05106201171875,0.018660481770833334,0.7964884440104166
6_SNN-Block2/2/step1-8_SepConv/step5_lif3,491520,394906,75693,14649,6272,96614,0.8034383138020833,0.19656168619791667,0.153997802734375,0.029803466796875,0.012760416666666666,0.8034383138020833
6_SNN-Block2/1/step16-21_conv2/step20_lif3,737280,600189,106685,22553,7853,137091,0.8140584309895833,0.18594156901041667,0.14470079210069445,0.030589463975694446,0.010651312934027778,0.8140584309895833
6_SNN-Block2/1/step16-21_conv2/step18_lif2,737280,534055,155021,40581,7623,203225,0.7243584526909722,0.2756415473090278,0.21026068793402777,0.05504150390625,0.01033935546875,0.7243584526909722
6_SNN-Block2/1/step16-21_conv2/step16_lif1,737280,545755,151547,34584,5394,191525,0.7402275933159722,0.2597724066840278,0.20554877387152778,0.04690755208333333,0.007316080729166666,0.7402275933159722
6_SNN-Block2/1/step10-15_conv1/step10_lif1,245760,193771,36063,12430,3496,51989,0.7884562174479167,0.21154378255208334,0.14674072265625,0.050577799479166664,0.014225260416666666,0.7884562174479167
6_SNN-Block2/1/step10-15_conv1/step14_lif3,245760,174320,51402,12629,7409,71440,0.7093098958333334,0.2906901041666667,0.2091552734375,0.05138753255208333,0.030147298177083334,0.7093098958333334
6_SNN-Block2/1/step10-15_conv1/step12_lif2,245760,172688,54398,15168,3506,73072,0.7026692708333333,0.29733072916666664,0.22134602864583333,0.06171875,0.014265950520833333,0.7026692708333333
6_SNN-Block2/1/step1-8_SepConv/step3_lif2,491520,392553,78285,17798,2884,98967,0.798651123046875,0.201348876953125,0.159271240234375,0.036210123697916666,0.005867513020833334,0.798651123046875
6_SNN-Block2/1/step1-8_SepConv/step7_lif4,245760,144426,77134,21714,2486,101334,0.5876708984375,0.4123291015625,0.31385904947916665,0.0883544921875,0.010115559895833333,0.5876708984375
6_SNN-Block2/1/step1-8_SepConv/step1_lif1,245760,190395,40161,12296,2908,55365,0.77471923828125,0.22528076171875,0.16341552734375,0.050032552083333334,0.011832682291666667,0.77471923828125
6_SNN-Block2/1/step1-8_SepConv/step5_lif3,491520,392657,75970,15975,6918,98863,0.7988627115885417,0.20113728841145834,0.15456136067708334,0.032501220703125,0.01407470703125,0.7988627115885417
6_SNN-Block2/0/step16-21_conv2/step20_lif3,737280,589408,114155,25619,8098,147872,0.7994357638888889,0.2005642361111111,0.15483262803819445,0.03474799262152778,0.010983615451388888,0.7994357638888889
6_SNN-Block2/0/step16-21_conv2/step18_lif2,737280,525496,161034,43287,7463,211784,0.7127495659722223,0.2872504340277778,0.21841634114583333,0.05871175130208333,0.01012234157986111,0.7127495659722223
6_SNN-Block2/0/step16-21_conv2/step16_lif1,737280,549160,150426,32997,4697,188120,0.7448459201388888,0.2551540798611111,0.2040283203125,0.044755045572916666,0.006370713975694445,0.7448459201388888
6_SNN-Block2/0/step10-15_conv1/step10_lif1,245760,188047,44316,11320,2077,57713,0.7651652018229167,0.23483479817708333,0.180322265625,0.046061197916666664,0.008451334635416667,0.7651652018229167
6_SNN-Block2/0/step10-15_conv1/step14_lif3,245760,169657,52885,15533,7685,76103,0.6903361002604167,0.30966389973958336,0.21518961588541666,0.06320393880208333,0.031270345052083336,0.6903361002604167
6_SNN-Block2/0/step10-15_conv1/step12_lif2,245760,164179,58963,18199,4419,81581,0.6680460611979167,0.33195393880208335,0.23992106119791667,0.07405192057291667,0.01798095703125,0.6680460611979167
6_SNN-Block2/0/step1-8_SepConv/step3_lif2,491520,353465,97059,32523,8473,138055,0.7191263834635416,0.2808736165364583,0.197467041015625,0.066168212890625,0.017238362630208334,0.7191263834635416
6_SNN-Block2/0/step1-8_SepConv/step7_lif4,245760,135779,80239,25838,3904,109981,0.5524861653645833,0.44751383463541666,0.32649332682291665,0.10513509114583333,0.015885416666666666,0.5524861653645833
6_SNN-Block2/0/step1-8_SepConv/step1_lif1,245760,177727,54060,12007,1966,68033,0.7231730143229167,0.27682698567708336,0.219970703125,0.04885660807291667,0.007999674479166666,0.7231730143229167
6_SNN-Block2/0/step1-8_SepConv/step5_lif3,491520,382893,86381,15963,6283,108627,0.778997802734375,0.221002197265625,0.17574259440104167,0.032476806640625,0.012782796223958334,0.778997802734375
12_SNN-Block2/step16-21_conv2/step20_lif3,737280,596164,128100,11064,1952,141116,0.8085991753472223,0.19140082465277777,0.17374674479166666,0.015006510416666667,0.0026475694444444446,0.8085991753472223
12_SNN-Block2/step16-21_conv2/step18_lif2,737280,559098,154849,22128,1205,178182,0.7583251953125,0.2416748046875,0.21002739800347223,0.030013020833333334,0.0016343858506944445,0.7583251953125
12_SNN-Block2/step16-21_conv2/step16_lif1,737280,570003,151880,14670,727,167277,0.7731160481770833,0.22688395182291668,0.2060004340277778,0.0198974609375,0.0009860568576388889,0.7731160481770833
12_SNN-Block2/step10-15_conv1/step10_lif1,245760,211402,27626,5868,864,34358,0.8601969401041667,0.13980305989583333,0.11241048177083333,0.023876953125,0.003515625,0.8601969401041667
12_SNN-Block2/step10-15_conv1/step14_lif3,245760,179462,59699,5325,1274,66298,0.7302327473958333,0.2697672526041667,0.24291585286458334,0.02166748046875,0.0051839192708333336,0.7302327473958333
12_SNN-Block2/step10-15_conv1/step12_lif2,245760,168316,69899,7248,297,77444,0.6848795572916667,0.31512044270833334,0.28441975911458334,0.0294921875,0.00120849609375,0.6848795572916667
12_SNN-Block2/step1-8_SepConv/step3_lif2,491520,363992,110528,15956,1044,127528,0.7405436197916667,0.25945638020833334,0.22486979166666668,0.03246256510416667,0.0021240234375,0.7405436197916667
12_SNN-Block2/step1-8_SepConv/step7_lif4,245760,178002,58225,9001,532,67758,0.7242919921875,0.2757080078125,0.23691813151041666,0.03662516276041667,0.0021647135416666668,0.7242919921875
